Palabra                  Frecuencia     Longitud  
attached                 1              8         
attack                   6              6         
attacked                 1              8         
attempt                  1              7         
attend                   2              6         
attends                  2              7         
attention                1              9         
attitude                 1              8         
attract                  1              7         
atwinkle                 1              8         
author                   2              6         
autumn                   1              6         
autumn—he                1              9         
avail                    1              5         
available                3              9         
avoid                    2              5         
await                    1              5         
awakening                1              9         
aware                    3              5         
away                     45             4         
away—you                 1              8         
away”                    1              5         
awful                    4              5         
awhile                   1              6         
awkward                  2              7         
awoke                    4              5         
axe                      1              3         
b                        1              1         
babies                   21             6         
baby                     9              4         
bachelor                 1              8         
back                     61             4         
backed                   1              6         
backing                  5              7         
backs                    1              5         
backwoods                4              9         
back—she                 1              8         
back”                    1              5         
bad                      10             3         
bade                     2              4         
badly                    5              5         
bag                      5              3         
balance                  1              7         
bale                     1              4         
ball                     29             4         
balls                    3              5         
band                     1              4         
bang                     1              4         
banged                   1              6         
banging                  1              7         
bank                     30             4         
banking                  1              7         
banks                    1              5         
bankworm                 1              8         
banquet                  1              7         
barb                     1              4         
barbed                   11             6         
bare                     1              4         
barely                   2              6         
bark                     18             4         
barn                     1              4         
barnyard                 2              8         
barred                   1              6         
barrel                   1              6         
based                    2              5         
basket                   1              6         
basswood”                1              9         
bats                     1              4         
battle                   1              6         
be                       117            2         
beak                     1              4         
beaks                    1              5         
bear                     178            4         
bears                    11             5         
bear’s                   8              6         
bear”                    3              5         
beat                     6              4         
beating                  2              7         
beautifully              1              11        
beauty                   1              6         
became                   3              6         
because                  13             7         
become                   2              6         
becoming                 2              8         
bed                      6              3         
beds                     1              4         
bedtime                  1              7         
bee                      26             3         
beech                    8              5         
been                     65             4         
been—for                 1              8         
bees                     19             4         
bees”                    1              5         
bee’s                    1              5         
befell                   1              6         
before                   51             6         
before—provided          1              15        
before”                  1              7         
began                    38             5         
begged                   2              6         
begin                    2              5         
beginning                3              9         
begun                    3              5         
behind                   25             6         
behind—but               1              10        
being                    15             5         
beings                   1              6         
belief                   1              6         
believe                  5              7         
believed                 2              8         
believing                1              9         
bells                    1              5         
below                    6              5         
belt                     1              4         
bend                     1              4         
bending                  1              7         
beneath                  18             7         
benefit                  1              7         
bent                     1              4         
berries                  2              7         
berrying                 1              8         
berth                    1              5         
beside                   11             6         
besides                  3              7         
best                     17             4         
bet                      5              3         
betray                   2              6         
betrayed                 1              8         
betraying                2              9         
better                   15             6         
betterarmed              1              11        
betty                    3              5         
between                  13             7         
between—is               1              10        
beware                   1              6         
beyond                   2              6         
beyond—far               1              10        
bided                    1              5         
biffing                  1              7         
big                      19             3         
billows                  1              7         
bills                    1              5         
binary                   1              6         
biology                  1              7         
birch                    9              5         
birches                  2              7         
bird                     1              4         
bit                      13             3         
bite                     3              4         
bites                    1              5         
biting                   2              6         
bits                     3              4         
bitter                   2              6         
black                    159            5         
blackberry               1              10        
blackbird                2              9         
blackened                4              9         
blame                    1              5         
blamed                   1              6         
blanket                  6              7         
blanket—was              1              11        
blazing                  1              7         
blind                    3              5         
blinded                  1              7         
blinding                 1              8         
blink                    1              5         
blinking                 2              8         
bliss                    1              5         
blissful                 3              8         
bliss—and                1              9         
blood                    1              5         
bloodcurdling            2              13        
blouse                   1              6         
blow                     7              4         
blowing                  3              7         
blue                     5              4         
blueberries              5              11        
blueberry                4              9         
bluebird                 3              8         
bluff                    2              5         
bluffer                  2              7         
bluffer”                 1              8         
bluffing                 1              8         
boasted                  1              7         
boat                     8              4         
boat”                    1              5         
bob                      19             3         
bobby                    37             5         
bobby’s                  2              7         
bobtailed                1              9         
bob’s                    3              5         
bodies                   1              6         
bodily                   2              6         
body                     6              4         
bone                     1              4         
bones                    2              5         
bonfire                  1              7         
books                    1              5         
boot                     1              4         
border                   2              6         
bore                     1              4         
born                     1              4         
botany                   1              6         
both                     13             4         
bottom                   6              6         
bough                    1              5         
boulder                  5              7         
boulders                 2              8         
bounced                  1              7         
bound                    4              5         
boundaries               1              10        
bounding                 2              8         
bouts                    1              5         
box                      2              3         
boxed                    1              5         
boxing                   2              6         
boy                      59             3         
boylike                  1              7         
boys                     2              4         
boy’s                    6              5         
boy”                     1              4         
braced                   1              6         
bracing                  1              7         
bracken                  3              7         
bradley                  4              7         
branch                   14             6         
branches                 6              8         
brand                    2              5         
breach                   2              6         
breadth                  1              7         
break                    3              5         
breakfast                1              9         
breakfast—the            1              13        
breast                   1              6         
breath                   15             6         
breathed                 1              8         
breathing                1              9         
breeze                   2              6         
briargrown               1              10        
bridge                   1              6         
bright                   3              6         
brightest                1              9         
bring                    2              5         
brink                    3              5         
brisk                    1              5         
bristles                 1              8         
bristling                1              9         
broad                    9              5         
brock                    1              5         
broil                    1              5         
broke                    3              5         
broken                   2              6         
brood                    4              5         
brother                  10             7         
brothers                 4              8         
brother’s                1              9         
brought                  8              7         
brown                    18             5         
bruised                  2              7         
brush                    3              5         
brushwood                1              9         
budding                  2              7         
buds                     1              4         
built                    2              5         
bulging                  1              7         
bump                     5              4         
bumpetybump              1              11        
bump—slide—splash—and    1              21        
bunged                   1              6         
bunnies                  18             7         
bunnies”                 2              8         
bunny                    8              5         
burn                     1              4         
burned                   2              6         
burning                  2              7         
burnt                    1              5         
burr                     5              4         
bush                     8              4         
bushes                   12             6         
bush”                    1              5         
business                 3              8         
busy                     4              4         
but                      186            3         
butter                   2              6         
butterflies              1              11        
but—could                1              9         
buzz                     3              4         
buzzing                  8              7         
by                       83             2         
c                        1              1         
cabin                    2              5         
cake                     1              4         
calculate                1              9         
calculated               1              10        
calf                     1              4         
call                     1              4         
called                   6              6         
calling                  2              7         
calm                     1              4         
came                     58             4         
camp                     4              4         
can                      40             3         
cannot                   7              6         
canny                    1              5         
canopy                   1              6         
can’t                    12             5         
can”                     2              4         
capering                 1              8         
card                     1              4         
care                     8              4         
cared                    1              5         
career                   1              6         
carefree                 2              8         
careful                  1              7         
carefully                2              9         
cargo                    1              5         
carpet                   1              6         
carpeted                 1              8         
carried                  2              7         
carries                  1              7         
carry                    6              5         
carrying                 1              8         
case                     3              4         
cask                     6              4         
cast                     2              4         
cat                      2              3         
catch                    13             5         
catching                 4              8         
catch”                   1              6         
catlike                  1              7         
cats                     1              4         
caught                   17             6         
cause                    3              5         
caused                   1              6         
caution                  1              7         
cautious                 3              8         
cautiously               4              10        
cave                     7              4         
caved                    1              5         
cavein                   1              6         
cawn’t                   5              6         
cawn’t”                  2              7         
cease                    1              5         
ceased                   2              6         
celebrate                1              9         
centered                 1              8         
certain                  5              7         
certainly                29             9         
chaffee                  3              7         
chance                   9              6         
chances                  1              7         
change                   1              6         
changed                  3              7         
changed”                 1              8         
chapter                  3              7         
charge                   7              6         
charges                  1              7         
charitable               1              10        
charities                1              9         
charmed                  1              7         
charred                  3              7         
chase                    2              5         
chased                   1              6         
chasing                  1              7         
chastened                1              9         
check                    4              5         
checks                   1              6         
cheeks                   1              6         
chest                    2              5         
chestnut                 5              8         
chests                   1              6         
chicks                   3              6         
chiefly                  1              7         
child                    1              5         
children                 13             8         
children’s               1              10        
chill                    4              5         
chipmunk                 1              8         
chips                    1              5         
chirped                  2              7         
chirping                 1              8         
chiseling                1              9         
choice                   1              6         
choose                   2              6         
chops                    2              5         
chorus                   2              6         
chose                    1              5         
chubby                   1              6         
chuck                    2              5         
chuckled                 4              8         
chunk                    1              5         
chunks                   1              6         
circle                   5              6         
circled                  1              7         
circling                 3              8         
city                     1              4         
clacking                 1              8         
claim                    2              5         
claimant                 1              8         
clamber                  1              7         
clambered                2              9         
clambering               1              10        
clap                     1              4         
claw                     1              4         
clawed                   1              6         
clawing                  4              7         
claws                    14             5         
clay                     2              4         
clean                    2              5         
clear                    7              5         
clearing                 1              8         
clearly                  1              7         
clear—and                1              9         
clever                   3              6         
cleverest                1              9         
cleverness               1              10        
climb                    13             5         
climbed                  7              7         
climbed—my               1              10        
climbing                 5              8         
climbs                   1              6         
climb”                   3              6         
clinched                 1              8         
cling                    1              5         
clinging                 4              8         
clod                     4              4         
close                    12             5         
closed                   3              6         
closer                   3              6         
closing                  1              7         
cloud                    4              5         
clouds                   4              6         
clover                   1              6         
clucked                  1              7         
clump                    4              5         
clumsy                   1              6         
clung                    12             5         
clustered                1              9         
clutch                   1              6         
clutched                 2              8         
coarse                   1              6         
coat                     3              4         
coats                    1              5         
coaxed                   1              6         
coaxing                  2              7         
cockcrow                 1              8         
cocked                   2              6         
codes                    1              5         
coiled                   1              6         
cold                     8              4         
cold”                    2              5         
collection               4              10        
colored                  1              7         
comb                     5              4         
combined                 1              8         
comb—not                 1              8         
come                     35             4         
comers                   1              6         
comes                    1              5         
comfortable              2              11        
comfortably              2              11        
comfy                    2              5         
coming                   7              6         
coming”                  2              7         
command                  1              7         
commanded                2              9         
commercial               1              10        
committed                1              9         
common                   6              6         
company                  3              7         
comparatively            1              13        
compare                  1              7         
compelled                1              9         
compilation              1              11        
complain                 1              8         
complained               1              10        
complaining              1              11        
complaint                1              9         
completely               1              10        
compliance               5              10        
comply                   6              6         
complying                3              9         
compressed               1              10        
computer                 2              8         
computers                2              9         
concealed                1              9         
concealment              1              11        
concept                  2              7         
concern                  1              7         
concerned                3              9         
concerning               2              10        
concluded                1              9         
confessed                1              9         
confidence               1              10        
confident                1              9         
confirmation             1              12        
confirmed                1              9         
confronting              1              11        
conqueree                4              9         
conqueree”               1              10        
conscious                1              9         
consequential            1              13        
consider                 2              8         
considerable             2              12        
consideration            1              13        
considered               1              10        
constant                 1              8         
contact                  3              7         
contain                  2              7         
containing               1              10        
content                  1              7         
contented                1              9         
contentedly              1              11        
contents                 2              8         
continue                 1              8         
continued                1              9         
contract                 1              8         
contraries               1              10        
contrast                 1              8         
contributions            2              13        
control                  1              7         
convert                  1              7         
convinced                2              9         
coolly                   1              6         
coon’s                   1              6         
cooper                   1              6         
copied                   2              6         
copies                   7              6         
copse                    1              5         
copy                     12             4         
copying                  4              7         
copyright                20             9         
corn                     2              4         
corner                   4              6         
cornfield                1              9         
corporation              1              11        
corrupt                  1              7         
cost                     3              4         
costs                    2              5         
cottontail               17             10        
cottontail’s             4              12        
cough                    1              5         
coughing                 1              8         
could                    123            5         
couldn’t                 10             8         
counsel                  2              7         
counted                  1              7         
countless                1              9         
countries                1              9         
country                  4              7         
couple                   1              6         
courage                  5              7         
course                   18             6         
cousins                  1              7         
cover                    4              5         
covered                  3              7         
covering                 2              8         
covert                   1              6         
coward                   1              6         
cowards                  1              7         
cowbell                  3              7         
cows                     2              4         
crabapple                1              9         
crack                    2              5         
cracking                 1              8         
crackle                  1              7         
crackled                 1              8         
crackling                4              9         
cracks                   1              6         
craftily                 1              8         
cramped                  1              7         
cranny                   1              6         
crash                    2              5         
crashing                 1              8         
crawl                    1              5         
creaking                 2              8         
create                   1              6         
created                  2              7         
creating                 4              8         
creation                 1              8         
creature                 20             8         
creatures                10             9         
credit                   1              6         
credits                  1              7         
creep                    1              5         
creeping                 6              8         
crept                    10             5         
crestfallen              2              11        
crevice                  1              7         
